,full_name,squad,selected,position,team_code
420,Gylfi_Sigurdsson,Everton,106177.0,3.0,17
421,Adrien_Silva,Leicester City,10282.0,3.0,3
422,Bernardo_Silva,Manchester City,312286.0,3.0,1
423,David_Silva,Manchester City,234240.0,3.0,1
424,Xande_Silva,West Ham,0.0,4.0,8
425,Danny_Simpson,Leicester City,20221.0,2.0,3
426,Jack_Simpson,Bournemouth,257252.0,2.0,2
427,Josh_Sims,Southampton,4891.0,3.0,10
428,Moussa_Sissoko,Tottenham,2814.0,3.0,4
429,Oliver_Skipp,Tottenham,0.0,3.0,4
430,Callum_Slattery,Southampton,0.0,3.0,10
431,Chris_Smalling,Manchester Utd,165459.0,2.0,16
432,Adam_Smith,Bournemouth,21187.0,2.0,2
433,Tommy_Smith,Huddersfield,5090.0,2.0,15
434,Robert_Snodgrass,West Ham,8221.0,3.0,8
435,Cédric_Soares,Southampton,398975.0,2.0,10
436,Ramadan_Sobhi,Huddersfield,15146.0,3.0,15
437,Dominic_Solanke,Bournemouth,17914.0,4.0,2
438,Pape_Souaré,Crystal Palace,6259.0,2.0,13
439,Caglar_Soyuncu,Leicester City,0.0,2.0,3
440,Julian_Speroni,Crystal Palace,727239.0,1.0,13
441,Junior_Stanislas,Bournemouth,2359.0,3.0,2
442,Dale_Stephens,Brighton,549320.0,3.0,9
443,Jack_Stephens,Southampton,10138.0,2.0,10
444,Raheem_Sterling,Manchester City,95478.0,3.0,1
445,John_Stones,Manchester City,415001.0,2.0,1
446,Daniel_Sturridge,Liverpool,47395.0,4.0,5
447,Denis_Suárez,Arsenal,0.0,3.0,12
448,Isaac_Success,Watford,0.0,3.0,20
449,Sung-yueng_Ki,Newcastle Utd,12763.0,3.0,6
450,Andrew_Surman,Bournemouth,17574.0,3.0,2
451,Sam_Surridge,Bournemouth,0.0,4.0,2
452,Alexander_Sørloth,Crystal Palace,14555.0,4.0,13
453,Matt_Targett,Southampton,6036.0,2.0,10
454,James_Tarkowski,Burnley,461762.0,2.0,18
455,Charlie_Taylor,Burnley,11525.0,2.0,18
456,Youri_Tielemans,Leicester City,0.0,3.0,3
457,James_Tomkins,Crystal Palace,428025.0,2.0,13
