,id,full_names,element_type,team,selected,cost
138,100,Nathaniel_Mendez-Laing_100,3,5,3604,50
139,101,Callum_Paterson_101,3,5,8529,55
140,102,Aron_Gunnarsson_102,3,5,66660,45
141,103,Anthony_Pilkington_103,3,5,11915,45
142,104,Loïc_Damour_104,3,5,3308,45
143,105,Danny_Ward_105,3,5,15437,45
144,106,Josh_Murphy_106,3,5,14017,50
145,107,Kenneth_Zohore_107,4,5,36149,50
146,108,Omar_Bogle_108,4,5,15508,45
147,109,Gary_Madine_109,4,5,51829,45
148,110,Bobby_Reid_110,4,5,33401,55
149,176,Oumar_Niasse_176,4,5,46205,55
150,467,Greg_Cunninghamm_467,2,5,4968,45
151,504,Víctor_Camarasa_504,3,5,2384,45
152,535,Kadeem_Harris_535,3,5,0,0
153,537,Brian_Murphy_537,1,5,0,0
154,573,Rhys_Healey_573,4,5,0,0
155,589,Leandro_Bacuna_589,2,5,0,0
156,111,Thibaut_Courtois_111,1,6,78468,55
157,112,Willy_Caballero_112,1,6,8785,50
158,113,César_Azpilicueta_113,2,6,745918,65
159,114,Gary_Cahill_114,2,6,65491,55
160,115,Marcos_Alonso_115,2,6,727837,65
161,116,David_Luiz Moreira Marinho_116,2,6,160332,55
162,117,Victor_Moses_117,2,6,211948,60
163,118,Antonio_Rüdiger_118,2,6,135804,60
164,119,Andreas_Christensen_119,2,6,61061,55
165,120,Davide_Zappacosta_120,2,6,14783,55
166,121,Emerson_Palmieri dos Santos_121,2,6,9242,55
167,122,Eden_Hazard_122,3,6,480326,105
168,123,Cesc_Fàbregas_123,3,6,67338,65
169,124,Willian_Borges Da Silva_124,3,6,411692,75
170,125,Pedro_Rodríguez Ledesma_125,3,6,96685,65
171,126,N'Golo_Kanté_126,3,6,889970,50
172,127,Ross_Barkley_127,3,6,22315,60
173,128,Daniel_Drinkwater_128,3,6,9829,50
174,129,Tiemoué_Bakayoko_129,3,6,14331,50
175,130,Ethan_Ampadu_130,3,6,3328,45
176,131,Callum_Hudson-Odoi_131,3,6,119739,45
177,132,Ruben_Loftus-Cheek_132,3,6,55849,55
178,133,Olivier_Giroud_133,4,6,188771,80
179,134,Álvaro_Morata_134,4,6,151388,90
180,459,Jorge Luiz_Frello Filho_459,3,6,396333,50
181,496,Tammy_Abraham_496,4,6,7919,55
182,498,Kepa_Arrizabalaga_498,1,6,120895,55
183,499,Mateo_Kovacic_499,3,6,56369,60
184,579,Gonzalo_Higuaín_579,4,6,0,0
185,624,Addji Keaninkin Marc-Israel_Guehi_624,2,6,0,0
186,135,Wayne_Hennessey_135,1,7,49531,45
187,136,Julian_Speroni_136,1,7,727239,40
188,137,Vicente_Guaita_137,1,7,12383,45
189,138,James_Tomkins_138,2,7,428025,45
190,139,Scott_Dann_139,2,7,779,45
191,140,Martin_Kelly_140,2,7,409020,40
